file	bytes	gib	net_s	disk_s	net_mib_s	disk_mib_s
.gitattributes	1519	0.00	0.055	0.000	0.0	30.4
LICENSE	6962	0.00	0.049	0.000	0.1	239.1
README.md	6259	0.00	0.050	0.000	0.1	152.1
config.json	663	0.00	0.049	0.000	0.0	31.4
generation_config.json	242	0.00	0.054	0.000	0.0	3.3
merges.txt	1671839	0.00	0.070	0.001	22.6	2778.1
model-00001-of-00037.safetensors	3762345336	3.50	9.660	1.490	371.4	2408.1
model-00002-of-00037.safetensors	3995200440	3.72	12.201	1.516	312.3	2513.4
model-00003-of-00037.safetensors	3812769392	3.55	11.746	1.442	309.6	2522.0
model-00004-of-00037.safetensors	3995183944	3.72	11.722	1.369	325.0	2782.4
model-00005-of-00037.safetensors	3995183944	3.72	10.174	1.780	374.5	2140.4
model-00006-of-00037.safetensors	3995200456	3.72	11.618	1.491	328.0	2555.0
model-00007-of-00037.safetensors	3812769424	3.55	10.043	1.437	362.0	2529.7
model-00008-of-00037.safetensors	3995183968	3.72	11.134	1.795	342.2	2123.1
model-00009-of-00037.safetensors	3995183968	3.72	8.783	1.177	433.8	3238.5
model-00010-of-00037.safetensors	3995200464	3.72	10.017	1.184	380.4	3217.2
model-00011-of-00037.safetensors	3812769424	3.55	10.793	1.433	336.9	2538.3
model-00012-of-00037.safetensors	3995183968	3.72	11.402	1.498	334.1	2543.9
model-00013-of-00037.safetensors	3995183968	3.72	8.812	1.167	432.4	3264.8
model-00014-of-00037.safetensors	3995200464	3.72	11.351	1.345	335.7	2832.5
model-00015-of-00037.safetensors	3812769424	3.55	10.628	1.710	342.1	2126.6
model-00016-of-00037.safetensors	3995183968	3.72	10.991	1.494	346.7	2550.4
model-00017-of-00037.safetensors	3995183968	3.72	9.048	1.491	421.1	2555.5
model-00018-of-00037.safetensors	3995200464	3.72	11.361	2.854	335.4	1335.2
model-00019-of-00037.safetensors	3812769424	3.55	9.965	1.617	364.9	2248.1
model-00020-of-00037.safetensors	3995183968	3.72	38.757	1.505	98.3	2532.4
model-00021-of-00037.safetensors	3995183968	3.72	9.741	1.537	391.1	2479.3
model-00022-of-00037.safetensors	3995200464	3.72	9.919	1.490	384.1	2556.7
model-00023-of-00037.safetensors	3812769424	3.55	7.871	1.441	462.0	2523.5
model-00024-of-00037.safetensors	3995183968	3.72	9.773	1.497	389.8	2544.3
model-00025-of-00037.safetensors	3995183968	3.72	9.940	1.492	383.3	2554.3
model-00026-of-00037.safetensors	3995200464	3.72	10.196	1.174	373.7	3245.2
model-00027-of-00037.safetensors	3812769424	3.55	7.749	1.335	469.3	2723.6
model-00028-of-00037.safetensors	3995183968	3.72	9.940	1.138	383.3	3348.6
model-00029-of-00037.safetensors	3995183968	3.72	10.419	1.627	365.7	2342.0
model-00030-of-00037.safetensors	3995200464	3.72	10.123	1.484	376.4	2567.8
model-00031-of-00037.safetensors	3812769424	3.55	8.347	1.409	435.6	2580.6
model-00032-of-00037.safetensors	3995183968	3.72	9.513	1.498	400.5	2542.9
model-00033-of-00037.safetensors	3995183968	3.72	9.012	1.477	422.8	2578.8
model-00034-of-00037.safetensors	3995200464	3.72	10.911	1.183	349.2	3220.2
model-00035-of-00037.safetensors	3812769424	3.55	9.072	1.530	400.8	2377.3
model-00036-of-00037.safetensors	3995183968	3.72	10.212	1.153	373.1	3303.5
model-00037-of-00037.safetensors	3460317640	3.22	10.150	1.293	325.1	2551.6
model.safetensors.index.json	79025	0.00	0.082	0.000	0.9	768.9
tokenizer.json	7031645	0.01	0.104	0.002	64.6	2977.2
tokenizer_config.json	7305	0.00	0.049	0.000	0.1	202.2
vocab.json	2776833	0.00	0.077	0.001	34.6	2821.2
TOTAL	145424101604	135.44	403.734	54.557	343.5	2542.1
