file	bytes	gib	net_s	net_mib_s
.gitattributes	1519	0.00	0.054	0.0
LICENSE	6962	0.00	0.052	0.1
README.md	6259	0.00	0.052	0.1
config.json	663	0.00	0.051	0.0
generation_config.json	242	0.00	0.054	0.0
merges.txt	1671839	0.00	0.067	23.8
model-00001-of-00037.safetensors	3762345336	3.50	9.284	386.5
model-00002-of-00037.safetensors	3995200440	3.72	8.611	442.5
model-00003-of-00037.safetensors	3812769392	3.55	9.153	397.3
model-00004-of-00037.safetensors	3995183944	3.72	9.344	407.7
model-00005-of-00037.safetensors	3995183944	3.72	9.703	392.7
model-00006-of-00037.safetensors	3995200456	3.72	8.694	438.2
model-00007-of-00037.safetensors	3812769424	3.55	8.934	407.0
model-00008-of-00037.safetensors	3995183968	3.72	9.010	422.9
model-00009-of-00037.safetensors	3995183968	3.72	9.717	392.1
model-00010-of-00037.safetensors	3995200464	3.72	8.204	464.4
model-00011-of-00037.safetensors	3812769424	3.55	8.792	413.6
model-00012-of-00037.safetensors	3995183968	3.72	9.383	406.1
model-00013-of-00037.safetensors	3995183968	3.72	9.704	392.6
model-00014-of-00037.safetensors	3995200464	3.72	9.138	417.0
model-00015-of-00037.safetensors	3812769424	3.55	8.983	404.8
model-00016-of-00037.safetensors	3995183968	3.72	37.839	100.7
model-00017-of-00037.safetensors	3995183968	3.72	9.246	412.1
model-00018-of-00037.safetensors	3995200464	3.72	11.037	345.2
model-00019-of-00037.safetensors	3812769424	3.55	9.158	397.1
model-00020-of-00037.safetensors	3995183968	3.72	64.033	59.5
model-00021-of-00037.safetensors	3995183968	3.72	9.266	411.2
model-00022-of-00037.safetensors	3995200464	3.72	9.361	407.0
model-00023-of-00037.safetensors	3812769424	3.55	8.369	434.5
model-00024-of-00037.safetensors	3995183968	3.72	9.082	419.5
model-00025-of-00037.safetensors	3995183968	3.72	8.912	427.5
model-00026-of-00037.safetensors	3995200464	3.72	8.468	449.9
model-00027-of-00037.safetensors	3812769424	3.55	8.361	434.9
model-00028-of-00037.safetensors	3995183968	3.72	8.180	465.8
model-00029-of-00037.safetensors	3995183968	3.72	8.403	453.4
model-00030-of-00037.safetensors	3995200464	3.72	8.496	448.5
model-00031-of-00037.safetensors	3812769424	3.55	9.085	400.2
model-00032-of-00037.safetensors	3995183968	3.72	9.307	409.4
model-00033-of-00037.safetensors	3995183968	3.72	42.116	90.5
model-00034-of-00037.safetensors	3995200464	3.72	9.877	385.8
model-00035-of-00037.safetensors	3812769424	3.55	8.772	414.5
model-00036-of-00037.safetensors	3995183968	3.72	8.523	447.0
model-00037-of-00037.safetensors	3460317640	3.22	7.673	430.1
model.safetensors.index.json	79025	0.00	0.050	1.5
tokenizer.json	7031645	0.01	0.227	29.5
tokenizer_config.json	7305	0.00	0.048	0.1
vocab.json	2776833	0.00	0.073	36.2
TOTAL	145424101604	135.44	450.948	307.5
